Reporting country,Reference period,Item,Business type,Item code,Value,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,1209.26077,20260416,38
AUSTRIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,25.562833,20260416,38
AUSTRIA,2017 Q3,Reinsurers' share,Non-Life,R0240,2420.381639,20260416,38
AUSTRIA,2017 Q3,Net,Non-Life,R0300,5688.346217,20260416,38
AUSTRIA,2017 Q3,Claims incurred,Non-Life,R0301,,20260416,38
AUSTRIA,2017 Q3,Gross - Direct Business,Non-Life,R0310,4368.430606,20260416,38
AUSTRIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0320,780.830237,20260416,38
AUSTRIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,40.9302,20260416,38
AUSTRIA,2017 Q3,Reinsurers' share,Non-Life,R0340,1594.027629,20260416,38
AUSTRIA,2017 Q3,Net,Non-Life,R0400,3596.163413,20260416,38
AUSTRIA,2017 Q3,Changes in other technical provisions,Non-Life,R0401,,20260416,38
AUSTRIA,2017 Q3,Gross - Direct Business,Non-Life,R0410,-15.950425,20260416,38
AUSTRIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.00819,20260416,38
AUSTRIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20260416,38
AUSTRIA,2017 Q3,Reinsurers' share,Non-Life,R0440,0.150732,20260416,38
AUSTRIA,2017 Q3,Net,Non-Life,R0500,-16.092967,20260416,38
AUSTRIA,2017 Q3,Expenses incurred,Non-Life,R0550,1280.743565,20260416,38
AUSTRIA,2017 Q3,Other expenses,Non-Life,R1200,618.884634,20260416,38
AUSTRIA,2017 Q3,Balance - other technical expenses/income,Non-Life,R1210,,20260416,38
AUSTRIA,2017 Q3,Total technical expenses,Non-Life,R1300,1899.6282,20260416,38
AUSTRIA,2017 Q3,Premiums written,Life,R1401,,20260416,38
AUSTRIA,2017 Q3,Premiums earned,Life,R1501,,20260416,38
AUSTRIA,2017 Q3,Claims incurred,Life,R1601,,20260416,38
AUSTRIA,2017 Q3,Changes in other technical provisions,Life,R1701,,20260416,38
AUSTRIA,2017 Q3,Net Combined Ratio,Non-Life,Z0001,0.86,20260416,38
AUSTRIA,2017 Q3,Net Expense Ratio,Non-Life,Z0002,0.23,20260416,38
AUSTRIA,2017 Q4,Premiums written,Non-Life,R0101,,20260416,37
AUSTRIA,2017 Q4,Gross - Direct Business,Non-Life,R0110,9112.244164,20260416,37
AUSTRIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0120,1073.52628,20260416,37
AUSTRIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,10.922337,20260416,37
AUSTRIA,2017 Q4,Reinsurers' share,Non-Life,R0140,2961.498308,20260416,37
AUSTRIA,2017 Q4,Net,Non-Life,R0200,7235.194473,20260416,37
AUSTRIA,2017 Q4,Premiums earned,Non-Life,R0201,,20260416,37
AUSTRIA,2017 Q4,Gross - Direct Business,Non-Life,R0210,9094.690121,20260416,37
AUSTRIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0220,1058.49295,20260416,37
AUSTRIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,10.921502,20260416,37
AUSTRIA,2017 Q4,Reinsurers' share,Non-Life,R0240,2947.257382,20260416,37
AUSTRIA,2017 Q4,Net,Non-Life,R0300,7216.847192,20260416,37
AUSTRIA,2017 Q4,Claims incurred,Non-Life,R0301,,20260416,37
AUSTRIA,2017 Q4,Gross - Direct Business,Non-Life,R0310,5799.11388,20260416,37
AUSTRIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0320,672.06799,20260416,37
AUSTRIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,9.153758,20260416,37
AUSTRIA,2017 Q4,Reinsurers' share,Non-Life,R0340,2022.806225,20260416,37
AUSTRIA,2017 Q4,Net,Non-Life,R0400,4457.529403,20260416,37
AUSTRIA,2017 Q4,Changes in other technical provisions,Non-Life,R0401,,20260416,37
AUSTRIA,2017 Q4,Gross - Direct Business,Non-Life,R0410,-19.139863,20260416,37
AUSTRIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.288984,20260416,37
AUSTRIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20260416,37
AUSTRIA,2017 Q4,Reinsurers' share,Non-Life,R0440,1.357529,20260416,37
AUSTRIA,2017 Q4,Net,Non-Life,R0500,-20.208408,20260416,37
AUSTRIA,2017 Q4,Expenses incurred,Non-Life,R0550,1653.045014,20260416,37
AUSTRIA,2017 Q4,Other expenses,Non-Life,R1200,913.906605,20260416,37
AUSTRIA,2017 Q4,Balance - other technical expenses/income,Non-Life,R1210,,20260416,37
AUSTRIA,2017 Q4,Total technical expenses,Non-Life,R1300,2566.951619,20260416,37
AUSTRIA,2017 Q4,Premiums written,Life,R1401,,20260416,37
AUSTRIA,2017 Q4,Gross,Life,R1410,7921.073217,20260416,37
AUSTRIA,2017 Q4,Reinsurers' share,Life,R1420,170.883505,20260416,37
AUSTRIA,2017 Q4,Net,Life,R1500,7750.189711,20260416,37
AUSTRIA,2017 Q4,Premiums earned,Life,R1501,,20260416,37
AUSTRIA,2017 Q4,Gross,Life,R1510,7943.003903,20260416,37
AUSTRIA,2017 Q4,Reinsurers' share,Life,R1520,171.463216,20260416,37
AUSTRIA,2017 Q4,Net,Life,R1600,7771.540687,20260416,37
AUSTRIA,2017 Q4,Claims incurred,Life,R1601,,20260416,37
AUSTRIA,2017 Q4,Gross,Life,R1610,7750.325177,20260416,37
AUSTRIA,2017 Q4,Reinsurers' share,Life,R1620,145.019276,20260416,37
AUSTRIA,2017 Q4,Net,Life,R1700,7605.305902,20260416,37
AUSTRIA,2017 Q4,Changes in other technical provisions,Life,R1701,,20260416,37
AUSTRIA,2017 Q4,Gross,Life,R1710,893.151212,20260416,37
AUSTRIA,2017 Q4,Reinsurers' share,Life,R1720,40.894053,20260416,37
AUSTRIA,2017 Q4,Net,Life,R1800,852.257159,20260416,37
AUSTRIA,2017 Q4,Expenses incurred,Life,R1900,914.78828,20260416,37
AUSTRIA,2017 Q4,Other expenses,Life,R2500,305.930482,20260416,37
AUSTRIA,2017 Q4,Balance - other technical expenses/income,Life,R2510,,20260416,37
AUSTRIA,2017 Q4,Total technical expenses,Life,R2600,1220.718762,20260416,37
AUSTRIA,2017 Q4,Net Combined Ratio,Non-Life,Z0001,0.85,20260416,37
AUSTRIA,2017 Q4,Net Expense Ratio,Non-Life,Z0002,0.23,20260416,37
AUSTRIA,2018 Q1,Premiums written,Non-Life,R0101,,20260416,37
AUSTRIA,2018 Q1,Gross - Direct Business,Non-Life,R0110,3129.339216,20260416,37
AUSTRIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0120,340.689113,20260416,37
AUSTRIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,6.916181,20260416,37
AUSTRIA,2018 Q1,Reinsurers' share,Non-Life,R0140,941.777967,20260416,37
AUSTRIA,2018 Q1,Net,Non-Life,R0200,2535.166543,20260416,37
AUSTRIA,2018 Q1,Premiums earned,Non-Life,R0201,,20260416,37
AUSTRIA,2018 Q1,Gross - Direct Business,Non-Life,R0210,2372.513346,20260416,37
AUSTRIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0220,305.603902,20260416,37
AUSTRIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,6.649602,20260416,37
AUSTRIA,2018 Q1,Reinsurers' share,Non-Life,R0240,702.327998,20260416,37
AUSTRIA,2018 Q1,Net,Non-Life,R0300,1982.438853,20260416,37
AUSTRIA,2018 Q1,Claims incurred,Non-Life,R0301,,20260416,37
AUSTRIA,2018 Q1,Gross - Direct Business,Non-Life,R0310,1289.202783,20260416,37
AUSTRIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0320,181.386736,20260416,37
AUSTRIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,9.778303,20260416,37
AUSTRIA,2018 Q1,Reinsurers' share,Non-Life,R0340,361.203363,20260416,37
AUSTRIA,2018 Q1,Net,Non-Life,R0400,1119.164459,20260416,37
AUSTRIA,2018 Q1,Changes in other technical provisions,Non-Life,R0401,,20260416,37
AUSTRIA,2018 Q1,Gross - Direct Business,Non-Life,R0410,-12.817066,20260416,37
AUSTRIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0420,-0.016633,20260416,37
AUSTRIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20260416,37
AUSTRIA,2018 Q1,Reinsurers' share,Non-Life,R0440,-0.467587,20260416,37
AUSTRIA,2018 Q1,Net,Non-Life,R0500,-12.366112,20260416,37
AUSTRIA,2018 Q1,Expenses incurred,Non-Life,R0550,485.417197,20260416,37
AUSTRIA,2018 Q1,Other expenses,Non-Life,R1200,232.193094,20260416,37
AUSTRIA,2018 Q1,Balance - other technical expenses/income,Non-Life,R1210,,20260416,37
AUSTRIA,2018 Q1,Total technical expenses,Non-Life,R1300,717.610291,20260416,37
AUSTRIA,2018 Q1,Premiums written,Life,R1401,,20260416,37
AUSTRIA,2018 Q1,Gross,Life,R1410,2119.946815,20260416,37
AUSTRIA,2018 Q1,Reinsurers' share,Life,R1420,41.854814,20260416,37
AUSTRIA,2018 Q1,Net,Life,R1500,2078.092001,20260416,37
AUSTRIA,2018 Q1,Premiums earned,Life,R1501,,20260416,37
AUSTRIA,2018 Q1,Gross,Life,R1510,2029.224935,20260416,37
AUSTRIA,2018 Q1,Reinsurers' share,Life,R1520,41.911163,20260416,37
AUSTRIA,2018 Q1,Net,Life,R1600,1987.313772,20260416,37
AUSTRIA,2018 Q1,Claims incurred,Life,R1601,,20260416,37
AUSTRIA,2018 Q1,Gross,Life,R1610,2051.258727,20260416,37
AUSTRIA,2018 Q1,Reinsurers' share,Life,R1620,30.335968,20260416,37
AUSTRIA,2018 Q1,Net,Life,R1700,2020.922759,20260416,37
AUSTRIA,2018 Q1,Changes in other technical provisions,Life,R1701,,20260416,37
AUSTRIA,2018 Q1,Gross,Life,R1710,367.735073,20260416,37
AUSTRIA,2018 Q1,Reinsurers' share,Life,R1720,5.325155,20260416,37
AUSTRIA,2018 Q1,Net,Life,R1800,362.409918,20260416,37
AUSTRIA,2018 Q1,Expenses incurred,Life,R1900,247.431607,20260416,37
AUSTRIA,2018 Q1,Other expenses,Life,R2500,74.214512,20260416,37
AUSTRIA,2018 Q1,Balance - other technical expenses/income,Life,R2510,,20260416,37
AUSTRIA,2018 Q1,Total technical expenses,Life,R2600,321.64612,20260416,37
AUSTRIA,2018 Q1,Net Combined Ratio,Non-Life,Z0001,0.81,20260416,37
AUSTRIA,2018 Q1,Net Expense Ratio,Non-Life,Z0002,0.24,20260416,37
AUSTRIA,2018 Q2,Premiums written,Non-Life,R0101,,20260416,36
AUSTRIA,2018 Q2,Gross - Direct Business,Non-Life,R0110,5381.477501,20260416,36
AUSTRIA,2018 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0120,656.101548,20260416,36
AUSTRIA,2018 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,8.067541,20260416,36
AUSTRIA,2018 Q2,Reinsurers' share,Non-Life,R0140,1581.79063,20260416,36
AUSTRIA,2018 Q2,Net,Non-Life,R0200,4463.85596,20260416,36
AUSTRIA,2018 Q2,Premiums earned,Non-Life,R0201,,20260416,36
AUSTRIA,2018 Q2,Gross - Direct Business,Non-Life,R0210,4762.204696,20260416,36
AUSTRIA,2018 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0220,613.021426,20260416,36
AUSTRIA,2018 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,7.890341,20260416,36
AUSTRIA,2018 Q2,Reinsurers' share,Non-Life,R0240,1381.604501,20260416,36
AUSTRIA,2018 Q2,Net,Non-Life,R0300,4001.511963,20260416,36
AUSTRIA,2018 Q2,Claims incurred,Non-Life,R0301,,20260416,36
AUSTRIA,2018 Q2,Gross - Direct Business,Non-Life,R0310,2643.359624,20260416,36
AUSTRIA,2018 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0320,381.703551,20260416,36
AUSTRIA,2018 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,16.518088,20260416,36
AUSTRIA,2018 Q2,Reinsurers' share,Non-Life,R0340,743.523006,20260416,36
AUSTRIA,2018 Q2,Net,Non-Life,R0400,2298.058258,20260416,36
AUSTRIA,2018 Q2,Changes in other technical provisions,Non-Life,R0401,,20260416,36
AUSTRIA,2018 Q2,Gross - Direct Business,Non-Life,R0410,-18.50501,20260416,36
AUSTRIA,2018 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0420,-0.030976,20260416,36
